Company Name,Symbol,Company Website,Linked In Profile,Public or Private,Acquired by,"If public
(add Market Cap and Revenue)",Revenue,Revenue Year,Market Segment
Oracle Corp,,,,,,,,,
PANASONIC CORP,,,,,,,,,
Panovasic,,,,,,,,,
Parrot,,,,,,,,,
Phison Electronics,,,,,,,,,
PLATO NETWORKS INC,,,,,,,,,
PLX TECHNOLOGY INC,,,,,,,,,
Qbit Semiconductor,,,,,,,,,
Qualcomm,,,,,,,,,
Raytheon,,,,,,,,,
RAYTHEON COMPANY,,,,,,,,,
RAZA MICROELECTRONICS INC,,,,,,,,,
RDA MICROELECTRONICS,,,,,,,,,
Realtek Semiconductor,,,,,,,,,
RED DIGITAL CINEMA,,,,,,,,,
Renesas,,,,,,,,,
RESEARCH IN MOTION,,,,,,,,,
Ricoh Group,,,,,,,,,
RMI CORP,,,,,,,,,
Robert Bosch,,,,,,,,,
SAICT (SHANDONG ACADEMY OF INFO & COMM TEC),,,,,,,,,
sambanova,,,,,,,,,
SAMSUNG,,,,,,,,,
SANEI HYTECHS,,,,,,,,,
Sanyo,,,,,,,,,
SASKEN COMMUNICATION TECH LTD,,,,,,,,,
Satixfy,,,,,,,,,
SCKIPIO TECHNOLOGIES,,,,,,,,,
Seagate Technology,,,,,,,,,
SEIKO EPSON KK,,,,,,,,,
SEQUANS,,,,,,,,,
SH PROMOTION CTR FOR IC TECH & INDU,,,,,,,,,
Shanghai Fullhan,,,,,,,,,
SHANGHAI FULLHAN MICROELECTRONICS,,,,,,,,,
SHANGHAI INTL SCIENCE & TECHNOLOGY,,,,,,,,,
SHANGHAI JIAO TONG UNIV,,,,,,,,,
SHANGHAI TONGJI S & T IND CO LTD,,,,,,,,,
SHARP CORP,,,,,,,,,
SHENZHEN IC DESIGN INCUBATOR,,,,,,,,,
SHENZHEN STATE MICRO TECHNOLOGY,,,,,,,,,
SIANO MOBILE SILICON LTD,,,,,,,,,
Sichuan Changhong,,,,,,,,,
SIGMA DESIGNS INC,,,,,,,,,
SIGMATEL INC,,,,,,,,,
SILICON HIVE BV,,,,,,,,,
Silver Bullet Technology,,,,,,,,,
Sirius XM Radio,,,,,,,,,
SIVERGE NETWORKS LTD,,,,,,,,,
Socionext,,,,,,,,,
SOLARFLARE COMMUNICATIONS INC,,,,,,,,,
Sonix Technology,,,,,,,,,
SONY CORP,,,,,,,,,
SOUTHEAST ASIC DESIGN CENTER,,,,,,,,,
SPREADSTRUM COMMUNICATIONS,,,,,,,,,
SRISA,,,,,,,,,
ST Ericsson,,,,,,,,,
ST Micro,,,,,,,,,
ST Microelectonics NV,,,,,,,,,
ST/ST-E-STMICROELECTRONICS GRENOBLE 2 SAS,,,,,,,,,
STATE GRID,,,,,,,,,
STEC,,,,,,,,,
STMICROELECTRONICS,,,,,,,,,
SUMISHIN MATSUSHITA FINANCIAL KK,,,,,,,,,
SUNPLUS TECHNOLOGY CO LTD,,,,,,,,,
TELEGENT SYSTEMS USA INC,,,,,,,,,
Tesla,,,,,,,,,
TEXAS INSTRUMENTS INC,,,,,,,,,
ThinCI,,,,,,,,,
Topcon Positioning Systems,,,,,,,,,
Toshia,,,,,,,,,
TOSHIBA CORP,,,,,,,,,
TSINGHUA UNIV,,,,,,,,,
TUNG D INTERNATIONAL CO LTD,,,,,,,,,
U CREATIVE TECHNOLOGY HK LTD,,,,,,,,,
U-Blox,,,,,,,,,
Uhnder,,,,,,,,,
UNIVERSITY / INSTITUTE,,,,,,,,,
UNIVERSITY/INSTITUTE,,,,,,,,,
Verisilicon,,,,,,,,,
VIA Alliance Semiconductor,,,,,,,,,
VIA TECHNOLOGIES,,,,,,,,,
VIA TECHNOLOGIES-S3 Graphics,,,,,,,,,
ViaSat,,,,,,,,,
VIMICRO CORPORATION,,,,,,,,,
VWEB CORP,,,,,,,,,
WESTERN DIGITAL TECHNOLOGIES INC,,,,,,,,,
WINBOND,,,,,,,,,
Winbond Electroncis,,,,,,,,,
WINTEGRA LTD,,,,,,,,,
WIP GMBH & CO KG,,,,,,,,,
Wright Patterson,,,,,,,,,
WUXI MICROELECTRONICS INSTITUTE,,,,,,,,,
WZ TECHNOLOGY,,,,,,,,,
XGI TECHNOLOGY INC,,,,,,,,,
XILINX INC,,,,,,,,,
Xlinx,,,,,,,,,
YAMAHA KK,,,,,,,,,
yDesign,,,,,,,,,
ZORAN MICROELECTRONICS LTD,,,,,,,,,
ZTE,,,,,,,,,
