Company Name,Symbol,Company Website,Linked In Profile,PublicPrivate,Acquired by,Market Cap,Revenue,Revenue Year,Market Segment
Oracle,A3LDXM.MU,,,Public,,0.0,0.0,,
PANASONIC CORP,PCRFF,https://holdings.panasonic,,Public,,28499482513.920002,8378942226432.0,,Consumer Electronics
Panovasic,,,,Private,,,,,
Parrot,PAOTF,,,Public,,0.0,0.0,,
Phison Electronics,8299.TW,,,Public,,0.0,0.0,,
PLATO NETWORKS INC,PANW,https://www.paloaltonetworks.com,,Public,,75986618187.52,6489900032.0,,Software—Infrastructure
PLX TECHNOLOGY INC,6570.TW,,,Public,,0.0,0.0,,
Qbit Semiconductor,,,,Private,,,,,
Qualcomm,QCIM.BE,,,Public,,0.0,0.0,,
Raytheon,RTN2.BE,,,Public,,0.0,0.0,,
RAYTHEON COMPANY,,,,Private,,,,,
RAZA MICROELECTRONICS INC,,,,Private,,,,,
RDA MICROELECTRONICS,,,,Private,,,,,
Realtek Semiconductor,2379.TW,https://www.realtek.com,,Public,,217197483888.0,101658386432.0,,Semiconductors
RED DIGITAL CINEMA,,,,Private,,,,,
Renesas,ALINS.PA,https://www.intrasense.fr,,Public,,22936945.2,3790000.0,,Health Information Services
RESEARCH IN MOTION,,,,Private,,,,,
Ricoh Group,,,,Private,,,,,
RMI CORP,ETPHF,,,Public,,0.0,0.0,,
Robert Bosch,A351UK.MU,,,Public,,0.0,0.0,,
SAICT (SHANDONG ACADEMY OF INFO & COMM TEC),,,,Private,,,,,
sambanova,,,,Private,,,,,
SAMSUNG,KDXFF,,,Public,,0.0,0.0,,
SANEI HYTECHS,,,,Private,,,,,
Sanyo,SKXJF,https://www.sankyo-fever.co.jp,,Public,,2554789600.0,157296001024.0,,Gambling
SASKEN COMMUNICATION TECH LTD,,,,Private,,,,,
Satixfy,SATX,https://www.satixfy.com,,Public,,26649511.68,10876000.0,,Communication Equipment
SCKIPIO TECHNOLOGIES,,,,Private,,,,,
Seagate Technology,STX,,,Public,,0.0,0.0,,
SEIKO EPSON KK,,,,Private,,,,,
SEQUANS,CEQP,https://www.crestwoodlp.com,,Public,,3025172400.0,5680000000.0,,Oil & Gas Midstream
SH PROMOTION CTR FOR IC TECH & INDU,,,,Private,,,,,
Shanghai Fullhan,300613.SZ,https://www.fullhan.com,,Public,,12497504144.32,2011636480.0,,Security & Protection Services
SHANGHAI FULLHAN MICROELECTRONICS,,,,Private,,,,,
SHANGHAI INTL SCIENCE & TECHNOLOGY,,,,Private,,,,,
SHANGHAI JIAO TONG UNIV,,,,Private,,,,,
SHANGHAI TONGJI S & T IND CO LTD,,,,Private,,,,,
SHARP CORP,SHCAF,https://global.sharp,,Public,,3515169349.376,2548117012480.0,,Consumer Electronics
SHENZHEN IC DESIGN INCUBATOR,,,,Private,,,,,
SHENZHEN STATE MICRO TECHNOLOGY,,,,Private,,,,,
SIANO MOBILE SILICON LTD,,,,Private,,,,,
Sichuan Changhong,600839.SS,https://www.changhong.com,,Public,,19342046136.320004,95337316352.0,,"Furnishings, Fixtures & Appliances"
SIGMA DESIGNS INC,,,,Private,,,,,
SIGMATEL INC,SASI,https://sigmaadditive.com,,Public,,2800902.0,708743.0,,Information Technology Services
SILICON HIVE BV,,,,Private,,,,,
Silver Bullet Technology,,,,Private,,,,,
Sirius XM Radio,A3KUZ1.MU,,,Public,,0.0,0.0,,
SIVERGE NETWORKS LTD,,,,Private,,,,,
Socionext,JJP,,,Public,,0.0,0.0,,
SOLARFLARE COMMUNICATIONS INC,,,,Private,,,,,
Sonix Technology,5471.TW,https://www.sonix.com.tw,,Public,,7789492428.8,2865648128.0,,Semiconductors
SONY CORP,FCCO,,,Public,,0.0,0.0,,
SOUTHEAST ASIC DESIGN CENTER,,,,Private,,,,,
SPREADSTRUM COMMUNICATIONS,,,,Private,,,,,
SRISA,SYIEF,https://www.symrise.com,,Public,,15514692000.0,4618476032.0,,Specialty Chemicals
ST Ericsson,WYJI.HM,,,Public,,0.0,0.0,,
ST Micro,KWE,https://www.kwesst.com,,Public,,11398307.899999999,1016539.0,,Aerospace & Defense
ST Microelectonics NV,,,,Private,,,,,
ST/ST-E-STMICROELECTRONICS GRENOBLE 2 SAS,,,,Private,,,,,
STATE GRID,A1ZU78.DU,,,Public,,0.0,0.0,,
STEC,STEC.BK,https://www.stecon.co.th,,Public,,16623699174.4,29246650368.0,,Engineering & Construction
STMICROELECTRONICS,STMEF,https://www.st.com,,Public,,48875341431.808,16828999680.0,,Semiconductors
SUMISHIN MATSUSHITA FINANCIAL KK,,,,Private,,,,,
SUNPLUS TECHNOLOGY CO LTD,2401.TW,https://www.sunplus.com,,Public,,17358832736.0,5784641024.0,,Semiconductors
TELEGENT SYSTEMS USA INC,,,,Private,,,,,
Tesla,TSLA,,,Public,,0.0,0.0,,
TEXAS INSTRUMENTS INC,TXN,,,Public,,0.0,0.0,,
ThinCI,A3LJ36.DU,,,Public,,0.0,0.0,,
Topcon Positioning Systems,,,,Private,,,,,
Toshia,TOSBF,https://www.toshiba.co.jp,,Public,,13506043699.199999,3402278895616.0,,Conglomerates
TOSHIBA CORP,TOSBF,https://www.toshiba.co.jp,,Public,,13506043699.199999,3402278895616.0,,Conglomerates
TSINGHUA UNIV,,,,Private,,,,,
TUNG D INTERNATIONAL CO LTD,,,,Private,,,,,
U CREATIVE TECHNOLOGY HK LTD,,,,Private,,,,,
U-Blox,UBLXF,https://www.u-blox.com,,Public,,776829900.0,623852032.0,,Communication Equipment
Uhnder,LU0200080918.HA,,,Public,,0.0,0.0,,
UNIVERSITY / INSTITUTE,,,,Private,,,,,
UNIVERSITY/INSTITUTE,,,,Private,,,,,
Verisilicon,688521.SS,https://www.verisilicon.com,,Public,,33747155361.28,2657855744.0,,Semiconductors
VIA Alliance Semiconductor,,,,Private,,,,,
VIA TECHNOLOGIES,VMAR,,,Public,,0.0,0.0,,
VIA TECHNOLOGIES-S3 Graphics,,,,Private,,,,,
ViaSat,VSAT,https://www.viasat.com,,Public,,3699512760.0,2556157952.0,,Communication Equipment
VIMICRO CORPORATION,,,,Private,,,,,
VWEB CORP,1616.TW,https://www.evertop.com,,Public,,2008636400.0,3747069952.0,,Electrical Equipment & Parts
WESTERN DIGITAL TECHNOLOGIES INC,,,,Private,,,,,
